symbol,action,total_score,trend_score,volume_score,close,change_pct,vol_ratio,avg_vol_20d,turnover_b,rsi14,trend_up,macd_positive,breakout_20d,notes
CMNT.JK,ADD,8,5,3,810.0,2.5316455696202533,1.882074640763017,11921100.0,18.173484,64.52537722419851,True,True,True,"near_breakout,strong_volume,momentum_confirmed,strong_daily_move"
NEST.JK,ADD,7,4,3,358.0,2.8735632183908044,4.966713838671742,1003420.0,1.7841646,59.82144914995027,False,True,True,"near_breakout,strong_volume,momentum_confirmed,strong_daily_move"
KAQI.JK,WATCH,7,4,3,125.0,15.74074074074074,3.4812459708219428,185444150.0,80.6970875,68.96415969786136,True,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
CFIN.JK,WATCH,7,4,3,344.0,1.7751479289940828,3.389736707389626,1806925.0,2.107,65.3977885649113,True,True,False,"strong_volume,momentum_confirmed"
LEAD.JK,ADD,7,4,3,168.0,14.285714285714285,2.652674920575055,65967940.0,29.398572,62.51523512287055,False,True,True,"near_breakout,strong_volume,momentum_confirmed,strong_daily_move"
MSIN.JK,WATCH,7,4,3,960.0,0.0,2.225305193661494,37784615.0,80.719008,58.69302641298504,True,True,False,"strong_volume,momentum_confirmed"
DEFI.JK,ADD,7,4,3,121.0,34.44444444444444,2.1924157254429675,37306930.0,9.8968683,64.86557833720764,False,True,True,"near_breakout,strong_volume,momentum_confirmed,strong_daily_move"
ADCP.JK,ADD,7,4,3,53.0,1.9230769230769231,2.1398550149527438,8882985.0,1.0074399,65.6520215352543,False,True,True,"near_breakout,strong_volume,momentum_confirmed"
MTDL.JK,ADD,7,5,2,595.0,1.7094017094017095,1.504929884205703,1767790.0,1.582938,59.841302766746956,True,True,True,"near_breakout,momentum_confirmed"
MUTU.JK,WATCH,6,3,3,111.0,6.730769230769231,14.85670824815062,5140910.0,8.477847,67.97464601802096,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
EMDE.JK,WATCH,6,3,3,84.0,15.068493150684931,14.337771548703573,13463745.0,16.2153684,61.72956855911381,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
LABA.JK,WATCH,6,3,3,157.0,34.18803418803419,14.225507259277306,17076080.0,38.1377963,78.47550353160854,False,True,True,"near_breakout,strong_volume,strong_daily_move"
PJHB.JK,WATCH,6,3,3,276.0,21.052631578947366,13.346547396577627,8733120.0,32.169732,69.23480180473436,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
LPLI.JK,WATCH,6,3,3,332.0,9.210526315789473,10.700947613087788,699125.0,2.4837916,68.23810928015828,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
AGRS.JK,WATCH,6,3,3,73.0,2.8169014084507045,9.822399454077942,4264345.0,3.0576853,58.56785598933197,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
BEER.JK,WATCH,6,3,3,151.0,-6.790123456790123,9.614467082519562,29315655.0,42.5600144,51.464336273577835,False,True,False,"strong_volume,momentum_confirmed"
SMIL.JK,WATCH,6,3,3,282.0,-14.545454545454545,8.803853703595674,12942355.0,32.1318132,57.027346521457915,False,True,False,"strong_volume,momentum_confirmed"
KRYA.JK,WATCH,6,3,3,90.0,34.32835820895522,8.405136377249582,74810315.0,56.591181,73.0399367173714,False,True,True,"near_breakout,strong_volume,strong_daily_move"
BFIN.JK,WATCH,6,3,3,905.0,24.82758620689655,7.600373800757226,25248745.0,173.6694095,79.80770215777056,False,True,True,"near_breakout,strong_volume,strong_daily_move"
KING.JK,WATCH,6,4,2,304.0,9.352517985611511,6.922988812951013,392865.0,0.8268192,79.59148903058217,True,True,True,"near_breakout,strong_volume,strong_daily_move"
KLAS.JK,WATCH,6,3,3,90.0,5.88235294117647,6.59803518801734,8689890.0,5.160258,64.62724311410946,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
ASGR.JK,WATCH,6,3,3,1830.0,6.705539358600583,6.552463526728905,1284845.0,15.406587,69.85356717809665,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
KAEF.JK,WATCH,6,3,3,505.0,2.642276422764228,6.545641764917881,485575.0,1.605092,65.58853996871649,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
ASLI.JK,WATCH,6,3,3,412.0,-3.286384976525822,6.477276908923643,16984375.0,45.32515,66.11642691316213,False,True,False,"strong_volume,momentum_confirmed"
ASHA.JK,WATCH,6,3,3,85.0,-8.60215053763441,6.3083713315815455,155131055.0,83.1830655,60.362482510319246,False,True,False,"strong_volume,momentum_confirmed"
AYLS.JK,WATCH,6,3,3,228.0,29.545454545454547,5.986199153274975,12059405.0,16.45932,61.040391818424744,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
BIPP.JK,WATCH,6,3,3,67.0,-9.45945945945946,5.629578114729221,23739985.0,8.9542887,54.43831047555574,False,True,False,"strong_volume,momentum_confirmed"
SOFA.JK,WATCH,6,3,3,492.0,0.0,5.454518636207037,4745735.0,12.7357644,56.18091232169824,False,True,False,"strong_volume,momentum_confirmed"
NIKL.JK,WATCH,6,3,3,312.0,1.2987012987012987,5.377069227919681,2240570.0,3.7588824,53.89098079251622,False,True,False,"strong_volume,momentum_confirmed"
GTRA.JK,WATCH,6,3,3,272.0,7.086614173228346,5.376440435639129,758885.0,1.1097872,58.47949811852719,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
SDMU.JK,WATCH,6,3,3,99.0,-14.655172413793101,5.301778559763187,27471385.0,14.4190728,58.03040490166583,False,True,False,"strong_volume,momentum_confirmed"
